Id_Key,Dept,Gender,Age,Total Comp,District,SSC_RES,HSC,CGPA,SSC_Board,HSC_Board,GroupOrSubject,TotalDue,ScholarshipCount,WaiverCount,ReAdmission,TotalLateRegFineCount,StudyDurationAtUiu,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Status
1009,1,1,27,54,0,5,4.33,1.85,5,5,BUSINESS STUDIES,0,0,0,0,3,10,4,1,2,1,2.33,3,3.33,2.67,2.67,3.33,Dropout
1010,1,1,25,9,0,5,4.5,3,5,5,BUSINESS STUDIES,0,0,0,0,0,1,4,4.33,3.67,0,0,0,0,0,0,0,Dropout
1011,1,1,25,15,0,4.19,4.2,1.83,5,5,BUSINESS STUDIES,37600,0,0,0,0,2,2,4.67,1,3,3,3.33,0,0,0,0,Dropout
1012,1,1,26,21,0,4.19,3.75,1.52,5,5,Business Studies,0,0,0,0,0,3,3.33,1,1,3.67,2.33,2.67,4.33,2.33,2,0,Dropout
1013,1,2,25,24,0,3.56,3,1.44,5,5,BUSINESS STUDY,0,0,0,0,3,4,2,3,3,2.33,3.67,1,1,2,2.33,2,Dropout
1014,1,1,25,33,0,4.25,3.42,1.94,5,5,Business Studies,0,0,0,0,0,6,1,3.33,2,3.33,4,1,2.33,1,1,1,Dropout
1015,1,1,24,123,0,3.6,3.5,2.8,7,13,"Science,Language Arts Writing, Language Arts Reading, Maths, Social studies",0,0,0,0,3,15,1,4.67,4,1,1,1,3.33,3,4,3,Complete
1016,1,2,25,123,0,5,4.08,2.86,5,5,BUSINESS STUDIES,0,2,0,0,0,15,2.67,3.67,4,4,4,3.33,3.67,3.67,2,4,Complete
1017,1,1,24,123,0,4.06,3.83,3.07,5,5,Business Studies,0,1,10,0,0,14,4,4.67,4.67,2.33,4,3,3,3,4,5,Complete
1018,1,1,25,123,0,3.38,2.75,3.25,5,5,COMMERCE,0,4,0,0,0,13,5,4.33,5,4.33,5,4,3.33,3,2.67,3,Complete
1019,1,1,27,6,0,3.38,3.42,0.58,5,5,Business Studies,300,0,0,0,0,4,1,2,1,1,1,1,1,1,1,1,Dropout
1020,1,1,27,33,0,2.8,3.1,1.92,5,5,"Maths,English writing,Science,Social studies,English reading",34000,0,5,0,0,5,3,1,2,1,3.33,2.33,2.67,2,1,5,Dropout
